neighborhood,safety_score,green_score,accessibility_score,n_metrics,overall_score
South Shore,0.971,1.0,0.216,3,0.7290000000000001
Beltzhoover,0.961,1.0,0.204,3,0.7216666666666667
South Side Slopes,0.927,1.0,0.221,3,0.7160000000000001
Lincoln Place,0.977,1.0,0.121,3,0.6993333333333333
Overbrook,0.969,1.0,0.104,3,0.691
Carrick,0.785,1.0,0.254,3,0.6796666666666668
Bon Air,0.974,1.0,0.061,3,0.6783333333333333
Allentown,0.916,1.0,0.104,3,0.6733333333333333
Hays,0.988,1.0,0.024,3,0.6706666666666666
New Homestead,0.996,1.0,0.01,3,0.6686666666666666
Knoxville,0.826,1.0,0.151,3,0.659
Point Breeze,0.977,0.62,0.246,3,0.6143333333333333
South Side Flats,0.439,1.0,0.287,3,0.5753333333333334
Shadyside,0.92,0.205,0.568,3,0.5643333333333334
Bloomfield,0.929,0.205,0.548,3,0.5606666666666668
Squirrel Hill North,0.962,0.205,0.513,3,0.56
Point Breeze North,0.951,0.62,0.103,3,0.5579999999999999
Regent Square,0.997,0.62,0.055,3,0.5573333333333333
Swisshelm Park,0.998,0.62,0.01,3,0.5426666666666666
Squirrel Hill South,0.931,0.205,0.45,3,0.5286666666666667
North Oakland,0.962,0.205,0.403,3,0.5233333333333333
Greenfield,0.957,0.205,0.393,3,0.5183333333333333
Hazelwood,0.911,0.205,0.373,3,0.49633333333333335
West Oakland,0.967,0.205,0.311,3,0.4943333333333333
Mount Washington,0.894,0.0,0.543,3,0.47900000000000004
Larimer,0.933,0.066,0.371,3,0.4566666666666667
Lincoln-Lemington-Belmar,0.851,0.066,0.437,3,0.45133333333333336
South Oakland,0.948,0.205,0.18,3,0.4443333333333333
Central Oakland,0.964,0.205,0.155,3,0.44133333333333336
East Liberty,0.802,0.066,0.445,3,0.4376666666666667
Friendship,0.99,0.205,0.111,3,0.43533333333333335
Perry South,0.897,0.044,0.341,3,0.42733333333333334
Glen Hazel,0.99,0.205,0.082,3,0.4256666666666667
Brookline,0.9,0.0,0.366,3,0.422
Morningside,0.993,0.066,0.178,3,0.4123333333333333
Brighton Heights,0.909,0.044,0.279,3,0.41066666666666674
Perry North,0.963,0.044,0.2,3,0.40233333333333327
Allegheny Center,0.925,0.044,0.232,3,0.4003333333333334
Homewood South,0.843,0.066,0.281,3,0.39666666666666667
Garfield,0.951,0.066,0.164,3,0.3936666666666666
Summer Hill,0.993,0.044,0.134,3,0.39033333333333325
Highland Park,0.957,0.066,0.138,3,0.387
Stanton Heights,0.981,0.066,0.113,3,0.38666666666666666
Homewood West,0.97,0.066,0.122,3,0.38599999999999995
East Hills,0.884,0.066,0.207,3,0.38566666666666666
Manchester,0.962,0.044,0.137,3,0.381
Marshall-Shadeland,0.878,0.044,0.219,3,0.38033333333333336
Spring Garden,0.987,0.044,0.107,3,0.3793333333333333
Troy Hill,0.939,0.044,0.151,3,0.37799999999999995
Spring Hill-City View,0.944,0.044,0.143,3,0.377
Sheraden,0.903,0.0,0.224,3,0.37566666666666665
Crafton Heights,0.959,0.0,0.139,3,0.36599999999999994
California-Kirkbride,0.955,0.044,0.095,3,0.3646666666666667
Chateau,0.93,0.044,0.113,3,0.3623333333333334
Elliott,0.941,0.0,0.145,3,0.36199999999999993
Allegheny West,0.987,0.044,0.048,3,0.35966666666666663
Westwood,0.985,0.0,0.092,3,0.359
Homewood North,0.856,0.066,0.154,3,0.35866666666666663
Windgap,0.989,0.0,0.084,3,0.35766666666666663
Northview Heights,0.929,0.044,0.099,3,0.35733333333333334
Central Northside,0.908,0.044,0.119,3,0.35700000000000004
Beechview,0.936,0.0,0.131,3,0.35566666666666674
Fineview,0.978,0.044,0.037,3,0.353
Esplen,0.994,0.0,0.058,3,0.3506666666666667
Oakwood,0.994,0.0,0.053,3,0.349
West End,0.973,0.0,0.073,3,0.3486666666666667
North Shore,0.878,0.044,0.111,3,0.3443333333333334
Banksville,0.976,0.0,0.05,3,0.342
Duquesne Heights,0.978,0.0,0.047,3,0.3416666666666666
Fairywood,0.99,0.0,0.034,3,0.3413333333333333
Chartiers City,1.0,0.0,0.019,3,0.3396666666666666
East Carnegie,0.995,0.0,0.01,3,0.33499999999999996
Ridgemont,0.998,0.0,0.0,3,0.33266666666666667
East Allegheny,0.698,0.044,0.188,3,0.31
